,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
1628,IJT,iShares S&P Small-Cap 600 Growth ETF,168.45,$4.85B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ijt,
1629,DVY,iShares Select Dividend ETF,95.83,$17.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dvy,
1630,SHV,iShares Short Treasury Bond ETF,110.325,$6.67B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shv,
1631,CRED,iShares U.S. Credit Bond ETF,112.07,$1.5B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cred,
1632,PFF,iShares U.S. Preferred Stock ETF,38.65,$18.08B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pff,
1633,ISRL,"Isramco, Inc.",121,$328.84M,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl,
1634,ITI,"Iteris, Inc.",6.53,$214.1M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/iti,
1635,ITRI,"Itron, Inc.",65.55,$2.54B,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/itri,
1636,ITRN,Ituran Location and Control Ltd.,35.95,$843.94M,2005,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/itrn,
1637,ITUS,ITUS Corporation,2.67,$40.91M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/itus,
1638,IVENC,Ivy NextShares,99.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivenc,
1639,IVFGC,Ivy NextShares,99.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivfgc,
1640,IVFVC,Ivy NextShares,99.99,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivfvc,
1641,IXYS,IXYS Corporation,24.325,$797.11M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys,
1642,IZEA,IZEA Inc.,4.6999,$26.91M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/izea,
1643,JJSF,J & J Snack Foods Corp.,146.05,$2.73B,1986,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jjsf,
1644,MAYS,"J. W. Mays, Inc.",42.45,$85.57M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/mays,
1645,JBHT,"J.B. Hunt Transport Services, Inc.",103.62,$11.37B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht,
1646,JCOM,"j2 Global, Inc.",76.58,$3.71B,1999,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcom,
1647,JASO,"JA Solar Holdings, Co., Ltd.",7.365,$350.46M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/jaso,
1648,JKHY,"Jack Henry & Associates, Inc.",114.9,$8.87B,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy,
1649,JACK,Jack In The Box Inc.,100.7,$2.96B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jack,
1650,JXSB,Jacksonville Bancorp Inc.,29.77,$53.97M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/jxsb,
1651,JAGX,"Jaguar Health, Inc.",0.1665,$15.12M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jagx,
1652,JAKK,"JAKKS Pacific, Inc.",2.55,$68.82M,1996,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jakk,
1653,JMBA,"Jamba, Inc.",8.17,$125.24M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jmba,
1654,JRVR,"James River Group Holdings, Ltd.",38.9,$1.15B,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr,
1655,SGQI,Janus Henderson SG Global Quality Income ETF,28.6299,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgqi,
1656,JSML,Janus Henderson Small Cap Growth Alpha ETF,36.04,$7.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsml,
1657,JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,37.692,$13.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jsmd,
1658,JASN,"Jason Industries, Inc.",1.98,$51.41M,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasn,
1659,JASNW,"Jason Industries, Inc.",0.012,n/a,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasnw,
