,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
4016,CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cig.c,
4017,CBD,Companhia Brasileira de Distribuicao,22.88,$6.09B,1997,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/cbd,
4018,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,10.37,$7.09B,2002,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sbs,
4019,ELP,Companhia Paranaense de Energia (COPEL),7.36,$2.01B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/elp,
4020,CCU,"Compania Cervecerias Unidas, S.A.",26.23,$4.85B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ccu,
4021,CODI,Compass Diversified Holdings,16.9,$1.01B,2006,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/codi,
4022,CODI^A,Compass Diversified Holdings,24.64,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/codi^a,
4023,CMP,"Compass Minerals International, Inc.",67.4,$2.28B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cmp,
4024,CRK,"Comstock Resources, Inc.",5.8,$89.48M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crk,
4025,CAG,"ConAgra Brands, Inc.",35.94,$14.68B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/cag,
4026,CXO,Concho Resources Inc.,138.42,$20.58B,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo,
4027,CCM,Concord Medical Services Holdings Limited,3.95,$171.29M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/ccm,
4028,CNDT,Conduent Incorporated,15.34,$3.23B,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cndt,
4029,CNNX,Cone Midstream Partners LP,16.41,$1.04B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/cnnx,
4030,COP,ConocoPhillips,49.16,$58.77B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop,
4031,CEIX$,CONSOL Energy Inc.,21.88,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ceix$,
4032,CNX,CONSOL Energy Inc.,16,$3.68B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnx,
4033,CNX$,CONSOL Energy Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cnx$,
4034,ED,Consolidated Edison Inc,87.5,$27.13B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ed,
4035,STZ,Constellation Brands Inc,220.12,$43.06B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/stz,
4036,STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/stz.b,
4037,CSTM,Constellium N.V.,10.25,$1.08B,2013,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cstm,
4038,TCS,Container Store (The),5.22,$252.11M,2013,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/tcs,
4039,CBPX,"Continental Building Products, Inc.",27.35,$1.03B,2014,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cbpx,
4040,CLR,"Continental Resources, Inc.",45.14,$16.94B,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/clr,
4041,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",9.52,$950.88M,2013,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/vlrs,
4042,CVG,Convergys Corporation,24.05,$2.22B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/cvg,
4043,COO,"Cooper Companies, Inc. (The)",243.29,$11.91B,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/coo,
4044,CTB,Cooper Tire & Rubber Company,34.5,$1.77B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/ctb,
4045,CPS,Cooper-Standard Holdings Inc.,121.02,$2.12B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cps,
4046,CPA,"Copa Holdings, S.A.",131.17,$5.53B,2005,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cpa,
4047,CLB,Core Laboratories N.V.,101.64,$4.49B,1995,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb,
4048,CXW,"CoreCivic, Inc.",23.11,$2.73B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxw,
4049,CLGX,"CoreLogic, Inc.",44.59,$3.67B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx,
4050,CORR,"CorEnergy Infrastructure Trust, Inc.",35.88,$427.3M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/corr,
4051,CORR^A,"CorEnergy Infrastructure Trust, Inc.",25.57,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/corr^a,
4052,COR,CoreSite Realty Corporation,118.05,$4.04B,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cor,
4053,COR^A.CL,CoreSite Realty Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cor^a.cl,
4054,GLW,Corning Incorporated,32.05,$27.85B,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw,
4055,GYC,Corporate Asset Backed Corp CABCO,23.45,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyc,
4056,CCT,"Corporate Capital Trust, Inc.",17.65,$5.4B,2017,n/a,n/a,http://www.nasdaq.com/symbol/cct,
4057,OFC,Corporate Office Properties Trust,31.17,$3.1B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ofc,
4058,CZZ,Cosan Limited,9.41,$2.49B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/czz,
4059,CMRE,Costamare Inc.,5.62,$601.54M,2010,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cmre,
4060,CMRE^B,Costamare Inc.,24.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^b,
4061,CMRE^C,Costamare Inc.,25.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^c,
4062,CMRE^D,Costamare Inc.,26.3599,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^d,
4063,COTV,"Cotiviti Holdings, Inc.",31.79,$2.94B,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cotv,
4064,COT,Cott Corporation,17.32,$2.41B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cot,
4065,COTY,Coty Inc.,17,$12.74B,2013,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/coty,
4066,CFC^B,Countrywide Financial Corporation,25.72,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfc^b,
4067,CUZ,Cousins Properties Incorporated,9.03,$3.79B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz,
4068,CVA,Covanta Holding Corporation,14.95,$1.96B,n/a,Basic Industries,Electric Utilities: Central,http://www.nasdaq.com/symbol/cva,
4069,CPF,CPB Inc.,30.64,$923.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cpf,
4070,CPL,CPFL Energia S.A.,16.55,$8.42B,2004,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpl,
4071,CR,Crane Company,82.85,$4.92B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/cr,
4072,CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.a,
4073,CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.b,
4074,BAP,Credicorp Ltd.,213.24,$20.13B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bap,
4075,CS,Credit Suisse Group,16.47,$42.08B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cs,
4076,CPG,Crescent Point Energy Corporation,7.16,$3.91B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpg,
4077,CEQP,Crestwood Equity Partners LP,23.25,$1.63B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceqp,
4078,CRH,CRH PLC,34.8,$29.11B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/crh,
4079,CRT,Cross Timbers Royalty Trust,15.305,$91.83M,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt,
4080,CAPL,CrossAmerica Partners LP,24.74,$840.79M,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/capl,
4081,CCI,Crown Castle International Corporation,113.29,$46.03B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci,
4082,CCI^A,Crown Castle International Corporation,1142.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cci^a,
4083,CCK,"Crown Holdings, Inc.",59.58,$8B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cck,
4084,CRY,"CryoLife, Inc.",19.35,$647.4M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cry,
4085,CSRA,CSRA Inc.,28.42,$4.65B,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/csra,
4086,CSS,"CSS Industries, Inc.",27.39,$249.57M,n/a,Consumer Services,Consumer: Greeting Cards,http://www.nasdaq.com/symbol/css,
4087,CTS,CTS Corporation,27.55,$907.42M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts,
4088,CUBE,CubeSmart,29.39,$5.32B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cube,
4089,CUB,Cubic Corporation,61.4,$1.67B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cub,
4090,CFR,"Cullen/Frost Bankers, Inc.",95.25,$6.02B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfr,
4091,CFR^A,"Cullen/Frost Bankers, Inc.",25.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfr^a,
4092,CULP,"Culp, Inc.",31.25,$388.79M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/culp,
4093,CMI,Cummins Inc.,161.16,$26.75B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi,
4094,CW,Curtiss-Wright Corporation,121.31,$5.35B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw,
4095,SRF,Cushing Energy Income Fund (The),8.42,$20.84M,2012,n/a,n/a,http://www.nasdaq.com/symbol/srf,
4096,SZC,Cushing Renaissance Fund (The),18.26,$106.89M,2012,n/a,n/a,http://www.nasdaq.com/symbol/szc,
4097,CUBI,"Customers Bancorp, Inc",26.62,$820.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubi,
4098,CUBI^C,"Customers Bancorp, Inc",27.0315,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^c,
4099,CUBI^D,"Customers Bancorp, Inc",26.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^d,
4100,CUBI^E,"Customers Bancorp, Inc",26.96,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^e,
4101,CUBI^F,"Customers Bancorp, Inc",26.5599,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^f,
4102,CUBS,"Customers Bancorp, Inc",25.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubs,
4103,CVI,CVR Energy Inc.,31.41,$2.73B,2007,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvi,
4104,UAN,"CVR Partners, LP",3.06,$346.65M,2011,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/uan,
4105,CVRR,"CVR Refining, LP",12.65,$1.87B,2013,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvrr,
4106,CVS,CVS Health Corporation,70.4,$71.31B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/cvs,
4107,CELP,"Cypress Energy Partners, L.P.",6.51,$77.4M,2014,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/celp,
4108,CYS,"CYS Investments, Inc.",8.25,$1.28B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cys,
4109,CYS^A,"CYS Investments, Inc.",25.1754,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cys^a,
4110,CYS^B,"CYS Investments, Inc.",24.77,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cys^b,
4111,DHI,"D.R. Horton, Inc.",49.47,$18.55B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/dhi,
4112,DAN,Dana Incorporated,32.1,$4.65B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dan,
4113,DHR,Danaher Corporation,94.05,$65.42B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dhr,
4114,DAC,Danaos Corporation,1.6,$175.68M,2006,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dac,
4115,DQ,DAQO New Energy Corp.,51.36,$540.26M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/dq,
4116,DRI,"Darden Restaurants, Inc.",80.28,$9.93B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dri,
4117,DAR,Darling Ingredients Inc.,17.04,$2.81B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/dar,
4118,DVA,DaVita Inc.,57.99,$10.63B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dva,
4119,DCP,DCP Midstream LP,33.47,$4.8B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dcp,
4120,DCT,DCT Industrial Trust Inc,60.82,$5.66B,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dct,
4121,DDR,DDR Corp.,7.78,$2.87B,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ddr,
4122,DDR^A,DDR Corp.,26.04,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^a,
4123,DDR^J,DDR Corp.,25.51,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^j,
4124,DDR^K,DDR Corp.,25.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddr^k,
4125,DF,Dean Foods Company,10.05,$915.27M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/df,
4126,DECK,Deckers Outdoor Corporation,72.42,$2.31B,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/deck,
4127,DE,Deere & Company,148.77,$47.87B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/de,
4128,DEX,Delaware Enhanced Global Dividend,11.85,$187.72M,2007,n/a,n/a,http://www.nasdaq.com/symbol/dex,
4129,DDF,"Delaware Investments Dividend & Income Fund, Inc.",10.67,$82.03M,1993,n/a,n/a,http://www.nasdaq.com/symbol/ddf,
4130,DKL,"Delek Logistics Partners, L.P.",29.05,$707.7M,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/dkl,
4131,DK,"Delek US Holdings, Inc.",31.69,$2.58B,2017,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/dk,
4132,DVMT,Dell Technologies Inc.,81.91,$16.64B,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/dvmt,
4133,APTV$,Delphi Automotive plc,84.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aptv$,
4134,DLPH,Delphi Automotive plc,100.77,$26.79B,2011,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dlph,
4135,DLPH$,Delphi Technologies PLC,52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlph$,
4136,DAL,"Delta Air Lines, Inc.",49.59,$35.36B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/dal,
4137,DEL,Deltic Timber Corporation,92.5,$1.13B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/del,
4138,DLX,Deluxe Corporation,68.81,$3.31B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/dlx,
4139,DNR,Denbury Resources Inc.,1.73,$695.75M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dnr,
4140,DESP,"Despegar.com, Corp.",25.81,$1.73B,2017,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/desp,
4141,DKT,Deutsch Bk Contingent Cap Tr V,26.44,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dkt,
4142,DB,Deutsche Bank AG,18.74,$38.72B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/db,
4143,DTK,Deutsche Bank AG,25.59,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dtk,
4144,DXB,Deutsche Bank AG,25.5496,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dxb,
4145,DVN,Devon Energy Corporation,36.79,$19.33B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dvn,
4146,DHX,"DHI Group, Inc.",2.1,$105.51M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/dhx,
4147,DHT,"DHT Holdings, Inc.",3.88,$552.31M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dht,
4148,DEO,Diageo plc,139.58,$87.2B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/deo,
4149,DO,"Diamond Offshore Drilling, Inc.",15.71,$2.16B,1995,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/do,
4150,DRH,Diamondrock Hospitality Company,11.12,$2.23B,2005,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/drh,
4151,DSX,Diana Shipping inc.,3.94,$418.16M,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dsx,
4152,DSX^B,Diana Shipping inc.,23.791,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dsx^b,
4153,DSXN,Diana Shipping inc.,25.16,n/a,2015,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/dsxn,
4154,DKS,Dick&#39;s Sporting Goods Inc,27,$2.9B,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/dks,
4155,DBD,Diebold Nixdorf Incorporated,18.95,$1.43B,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/dbd,
4156,DLR,"Digital Realty Trust, Inc.",118.06,$24.25B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dlr,
4157,DLR^C,"Digital Realty Trust, Inc.",27.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^c,
4158,DLR^G,"Digital Realty Trust, Inc.",25.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^g,
4159,DLR^H,"Digital Realty Trust, Inc.",26.85,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^h,
4160,DLR^I,"Digital Realty Trust, Inc.",27.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^i,
4161,DLR^J,"Digital Realty Trust, Inc.",25.03,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlr^j,
4162,DDS,"Dillard&#39;s, Inc.",55,$1.58B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dds,
4163,DDT,"Dillard&#39;s, Inc.",25.66,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/ddt,
4164,DIN,"DineEquity, Inc",42.2,$759.1M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/din,
4165,DPLO,"Diplomat Pharmacy, Inc.",16.71,$1.15B,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo,
4166,DFS,Discover Financial Services,65.34,$23.74B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dfs,
4167,DFS^B.CL,Discover Financial Services,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfs^b.cl,
4168,DNI,Dividend and Income Fund,13.24,$141.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dni,
4169,DLB,Dolby Laboratories,62.66,$6.41B,2005,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dlb,
4170,DG,Dollar General Corporation,86.35,$23.6B,2009,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dg,
4171,DM,"Dominion Energy Midstream Partners, LP",30.75,$3.06B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dm,
4172,D,"Dominion Energy, Inc.",82.96,$53.39B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/d,
4173,DCUD,"Dominion Energy, Inc.",52.1,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcud,
4174,DRUA,"Dominion Energy, Inc.",25.587,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/drua,
4175,DPZ,Domino&#39;s Pizza Inc,174.52,$7.63B,2004,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dpz,
4176,UFS,Domtar Corporation,46.83,$3.04B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs,
4177,DCI,"Donaldson Company, Inc.",47.97,$6.23B,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/dci,
4178,DFIN,"Donnelley Financial Solutions, Inc.",20.07,$676.36M,2016,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dfin,
4179,LPG,Dorian LPG Ltd.,7.57,$417.22M,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/lpg,
4180,DSL,DoubleLine Income Solutions Fund,20.14,$2.04B,2013,n/a,n/a,http://www.nasdaq.com/symbol/dsl,
4181,DBL,DoubleLine Opportunistic Credit Fund,22.17,$329.46M,2012,n/a,n/a,http://www.nasdaq.com/symbol/dbl,
4182,PLOW,"Douglas Dynamics, Inc.",40.5,$914.93M,2010,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/plow,
4183,DEI,"Douglas Emmett, Inc.",40.87,$6.93B,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei,
4184,DOV,Dover Corporation,94.4,$14.71B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov,
4185,DDE,Dover Downs Gaming & Entertainment Inc,0.99,$32.82M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dde,
4186,DVD,"Dover Motorsports, Inc.",2,$73.62M,1996,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dvd,
4187,DWDP,DowDuPont Inc.,70.13,$164.1B,2017,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dwdp,
4188,DPS,"Dr Pepper Snapple Group, Inc",86.91,$15.69B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/dps,
4189,RDY,Dr. Reddy&#39;s Laboratories Ltd,35,$5.81B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdy,
4190,DRD,DRDGOLD Limited,3.555,$150.05M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/drd,
4191,DCF,Dreyfus Alcentra,10.0005,$140.01M,2017,n/a,n/a,http://www.nasdaq.com/symbol/dcf,
4192,DHF,Dreyfus High Yield Strategies Fund,3.36,$244.3M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhf,
4193,DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",13.05,$239.88M,2013,n/a,n/a,http://www.nasdaq.com/symbol/dmb,
4194,DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",8.45,$416.11M,1989,n/a,n/a,http://www.nasdaq.com/symbol/dsm,
4195,LEO,"Dreyfus Strategic Municipals, Inc.",8.77,$543.65M,1987,n/a,n/a,http://www.nasdaq.com/symbol/leo,
4196,DRQ,"Dril-Quip, Inc.",45.55,$1.72B,1997,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/drq,
4197,DS,Drive Shack Inc.,6.11,$409.15M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ds,
4198,DS^B,Drive Shack Inc.,26.1882,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^b,
4199,DS^C,Drive Shack Inc.,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^c,
4200,DS^D,Drive Shack Inc.,25.66,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^d,
4201,DST,"DST Systems, Inc.",60.32,$3.63B,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/dst,
4202,DSW,DSW Inc.,20.16,$1.61B,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dsw,
4203,DTE,DTE Energy Company,113.64,$20.39B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dte,
4204,DTJ,DTE Energy Company,25.68,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtj,
4205,DTQ,DTE Energy Company,25.03,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtq,
4206,DTV,DTE Energy Company,56.67,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtv,
4207,DTW,DTE Energy Company,25.13,n/a,2017,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtw,
4208,DTY,DTE Energy Company,27.41,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dty,
4209,DCO,Ducommun Incorporated,27.08,$306.77M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/dco,
4210,DPG,Duff & Phelps Global Utility Income Fund Inc.,15.49,$587.53M,2011,n/a,n/a,http://www.nasdaq.com/symbol/dpg,
4211,DSE,Duff & Phelps Select Energy MLP Fund Inc.,5.2,$135.77M,2014,n/a,n/a,http://www.nasdaq.com/symbol/dse,
4212,DNP,"Duff & Phelps Utilities Income, Inc.",11.38,$3.25B,1987,n/a,n/a,http://www.nasdaq.com/symbol/dnp,
4213,DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.11,$120.23M,1991,n/a,n/a,http://www.nasdaq.com/symbol/dtf,
4214,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",8.97,$246.63M,1993,n/a,n/a,http://www.nasdaq.com/symbol/duc,
4215,DUK,Duke Energy Corporation,88.88,$62.21B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/duk,
4216,DUKH,Duke Energy Corporation,25.5717,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/dukh,
